"","tit","voto_IMDB","num_IMDB"
"12961","LE PORNOCOPPIE ","3.5","13"
"12962","I PORNODESIDERI DI SILVIA ","4.2","112"
"12963","UNA VIZIOSA CON TANTA VOGLIA IN CORPO ","4.3","143"
"12964","IL CAVERNICOLO ","5.8","6439"
"12965","LA MORTE DI MARIO RICCI ","6.6","116"
"12966","LA MERLETTAIA ","7.8","1969"
"12967","IL DIFETTO DI ESSERE MOGLIE ","6.5","150"
"12968","Arturo ","5.7","48377"
"12969","L'IMPERO DELLE TERMITI GIGANTI ","4","3843"
"12970","IL CIBO DEGLI DEI ","4.4","3060"
"12971","Ormai non c'è più scampo ","4.4","2237"
"12972","Rollercoaster - Il grande brivido ","6.2","5040"
"12973","IL CORSARO DELLA GIAMAICA ","6","1361"
"12974","Il piccolo lord ","7.4","3349"
"12975","Il tocco della Medusa ","7","4697"
"12976","La battaglia delle aquile ","6.6","2035"
"12977","Oltre il ponte di Brooklyn  ","7.1","1366"
"12978","LA MELA ","4.3","1618"
"12979","L'INVINCIBILE NINJA ","5.2","3591"
"12980","IL MAGO DI LUBLINO ","5.6","120"
"12981","LA NOTTE DEI FALCHI ","6.7","743"
"12982","I PORNO DESIDERI DI UNA STUDENTESSA ","4.6","94"
"12983","IL RE DEL KUNG FU ","6.3","25"
"12984","Si salvi chi può - La vita ","7","2647"
"12985","PASSION ","7.2","197331"
"12986","PRENOM CARMEN ","6.6","2785"
"12987","LA RAGAZZA COL LECCA LECCA ",NA,NA
"12988","ENFANTASME ","4.8","9"
"12989","STORIA D'AMORE CON DELITTO ","4.8","23"
"12990","ZEPPELIN LA CASA SULL'ALBERO ","5.3","25"
"12991","EXECUTOR ","5.2","912"
"12992","Exterminator ","5.7","4382"
"12993","Octopussy operazione piovra ","6.6","84585"
"12994","Agente 007, solo per i tuoi occhi ","6.8","81806"
"12995","Giggi il bullo ","4.7","108"
"12996","Pierino colpisce ancora ","5","205"
"12997","Pierino contro tutti ","4.8","354"
"12998","L'esercito più pazzo del mondo ","3.3","36"
"12999","La liceale al mare con l'amica di papà ",NA,NA
"13000","Dove vai se il vizietto non ce l'hai? ","5.3","125"
"13001","ROMA: L'ALTRA FACCIA DELLA VIOLENZA ","6.8","108"
"13002","Kakkientruppen ","4.7","87"
"13003","Italia a mano armata ","6.6","360"
"13004","Amici più di prima ","5.1","16"
"13005","Fuga dal Bronx ","4.1","1861"
"13006","I NUOVI BARBARI ","4.6","2004"
"13007","1990 - I guerrieri del Bronx ","5.3","2458"
"13008","L'ultimo squalo ","4.4","1876"
"13009","IL GIORNO DEL COBRA ","5.9","327"
"13010","IL CACCIATORE DI SQUALI ","5.1","260"
"13011","SENSIVITA' ","7.1","79"
"13012","Quel maledetto treno blindato ","6.6","8151"
"13013","LA VIA DELLA DROGA ","6.7","475"
"13014","Keoma ","7.2","4357"
"13015","SCANDALO A PALAZZO ","6.2","410"
"13016","LA BANCHIERA ","6.4","615"
"13017","Tre simpatiche carogne ","5.2","99"
"13018","Manitù lo spirito del male ","5.2","2222"
"13019","FUTURE ANIMALS ","5.4","1780"
"13020","ZEBRA KILLER ","6.3","82"
"13021","IL GENDARME E GLI EXTRATERRESTRI ","6.2","6397"
"13022","DUE SVEDESI A PARIGI ","4","31"
"13023","LA GANG DELL'ANNO SANTO ","6.3","332"
"13024","La giacca verde ","7.4","18"
"13025","Il figlio del gangster ","6.5","336"
"13026","IL MATTO ",NA,NA
"13027","SuperTotò ","7","7"
"13028","LA CADUTA DEGLI ANGELI RIBELLI ","5.7","29"
"13029","Maledetti vi amerò ","7.1","57"
"13030","IL GIARDINO DEI SUPPLIZI ","4.5","33"
"13031","I BANDITI DEL TEMPO ","7","52209"
"13032","PARADISE ","4.9","2175"
"13033","RITA, RITA, RITA ","8.1","5029"
"13034","Agente 007, Moonraker: operazione spazio ","6.3","79915"
"13035","Agente 007, la spia che mi amava ","7.1","87157"
"13036","Amanda le avventure erotiche di una ragazza squillo ","3.7","6"
"13037","Liebes Lager ","5.5","37"
"13038","Breaking Glass ","7","1003"
"13039","PER AMORE ","5.8","12"
"13040","IL BANDITO DAGLI OCCHI AZZURRI ","6.1","110"
"13041","E SE TU NON VIENI ","5.2","15"
"13042","Emmanuelle 4 ","3.1","1083"
"13043","Emmanuelle 2 ","4.7","2564"
"13044","LE SEGRETE ESPERIENZE DI LUCA E FANNY ",NA,NA
"13045","Quella strana ragazza che abita in fondo al viale ","7.1","11141"
"13046","LE MELE SONO MATURE ","5.4","22"
"13047","PECCATI SUL LETTO DI FAMIGLIA ","4.1","11"
"13048","Ma chi mi ha fatto questo bebè? ","3.5","6"
"13049","SCHIAVE DEL PIACERE ","4.7","357"
"13050","Bees: lo sciame che uccide ","5.1","413"
"13051","IL DIARIO DI EDITH ","7","55"
"13052","L'ALIBI DI CRISTALLO ","6.9","136"
"13053","Un amico da salvare ","5.9","309"
"13054","LA DONNA DEL PRETE ","5","10"
"13055","L'uomo perfetto ","5.4","88"
"13056","Fantasie erotiche ","5.2","179"
"13057","DI PADRE IN FIGLIO ","6.4","9"
"13058","No grazie, il caffè mi rende nervoso ","6.6","270"
"13059","PERVERSE OLTRE LE SBARRE ","5","88"
"13060","IL BRACCIO VIOLENTO DELLA MALA ","4.2","24"
"13061","Lager SS 5 - L'inferno delle donne ","4.2","495"
"13062","SS LAGER 5 L'INFERNO DELLE DONNE ","4.2","495"
"13063","CORSE A PERDICUORE ","6.7","11"
"13064","Play Motel ",NA,NA
"13065","Incontri molto ravvicinati del 4° tipo ","5.7","76"
"13066","Occhi dalle stelle ","3.7","305"
"13067","LA CALDA BESTIA DI SPILBERG ","3.8","173"
"13068","UN BERSAGLIO PARTICOLARE ","6.2","235"
"13069","PRIMITIV ","2.9","280"
"13070","NOTTI INQUIETE ","7.2","25"
"13071","Cacciatori della notte ","5.1","22"
"13072","LE PORNO SCHIAVE DEL VIZIO ",NA,NA
"13073","OPERAZIONE TRIANGOLO D'ORO ",NA,NA
"13074","IL MIO SOCIO ","6.1","126"
"13075","VIA DEGLI SPECCHI ","5.6","15"
"13076","Angi Vera ","7.1","231"
"13077","Malombra ","4.4","89"
"13078","DIMENSIONE INFERNO ","5.8","699"
"13079","ENTITY ","6.6","12936"
"13080","IL RITORNO DI PALMA D'ACCIAIO ",NA,NA
"13081","Il grande uno rosso ","7.2","17118"
"13082","Murderock uccide a passo di danza ","5.5","1118"
"13083","I guerrieri dell'anno 2072 ","5","796"
"13084","CONQUEST ",NA,NA
"13085","Manhattan Baby ","4.8","1867"
"13086","LO SQUARTATORE DI NEW YORK ","6.4","7885"
"13087","QUELLA VILLA ACCANTO AL CIMITERO ","6.2","10738"
"13088","Black Cat (Gatto nero) ","5.9","2785"
"13089","... E tu vivrai nel terrore! L'aldilà ",NA,NA
"13090","PAURA NELLA CITTA' DEI MORTI VIVENTI ","6.3","13619"
"13091","Luca il contrabbandiere ","6.5","1425"
"13092","Zombi 2 ","6.9","22668"
"13093","Sella d'argento ","6.3","477"
"13094","Sette note in nero ","7","3236"
"13095","LA PRETORA ","5.9","271"
"13096","MORBOSITA' DI UNA ORIENTALE ",NA,NA
"13097","Afrodite ","4.3","294"
"13098","Il Maligno ","4.8","2668"
"13099","SPASMS ","5.2","813"
"13100","UN VIOLENTO WEEK-END DI TERRORE ","6.2","838"
"13101","DIXIE DYNAMITE E PATSY TRITOLO ","5.2","241"
"13102","MOGLIE IN ORGASMO ",NA,NA
"13103","EMANUELLE E LOLITA ","5","48"
"13104","IL PENETRANTE PROFUMO DELL'ADULTERIO ",NA,NA
"13105","SOLE SU UN'ISOLA APPASSIONATAMENTE ",NA,NA
"13106","Cruising ","6.4","15950"
"13107","POLLICE DA SCASSO ","6.5","2270"
"13108","Il salario della paura ","7.7","14145"
"13109","Bermuda now... il film ","5.5","179"
"13110","LA BRIGLIA PER DARDO ","7.5","10"
"13111","PIGS TODAY - PORCELLI OGGI ","4.2","153"
"13112","L'uomo del confine ","6.1","1369"
"13113","MURDER OBSESSION ","5.3","476"
"13114","ECCO IL FILM DEI MUPPET ","7.6","28739"
"13115","IL FANTABUS ","5.6","2586"
"13116","Psycho II ","6.4","20318"
"13117","PATRICK ","5.7","681"
"13118","L'ultima sfida ","6.4","1644"
"13119","PROFEZIA ","5.4","3563"
"13120","Black Sunday ","7.3","11633"
"13121","CIA CRIMINAL INTERNATIONAL AGENCY SEZIONE STEMINIO ",NA,NA
"13122","Marito in prova ","5","238"
"13123","LA VOLPE E LA DUCHESSA ","5.7","1447"
"13124","GLI AMORI IMPURI DI MELODY ","4.3","140"
"13125","PORNO SHOCK ","4.5","467"
"13126","Justine, una minorenne deliziosa ",NA,NA
"13127","FRENESIE EROTICHE DI UNA NINFOMANE ","4.6","429"
"13128","UN CALDO CORPO DI FEMMINA ","4.9","1510"
"13129","VIZIO IN BOCCA ","4.2","29"
"13130","I desideri erotici di Christine ","4.7","1901"
"13131","SICARIUS FEBBRE DI SESSO ","3.7","198"
"13132","Confessioni proibite di una monaca adolescente ","5.6","859"
"13133","Erotico profondo ","5.5","1335"
"13134","PENITENZIARIO FEMMINILE PER REATI SESSUALI ","4.7","975"
"13135","Greta - La donna bestia ","4.6","1898"
"13136","Sospiri ","5.5","238"
"13137","Le viziose ","4.3","682"
"13138","PIACERI EROTICI DI UNA SIGNORA BENE ",NA,NA
"13139","UNA SECONDINA IN UN CARCERE FEMMINILE ","4.7","975"
"13140","LA COCCOLONA ","4.4","182"
"13141","I ragazzi della Buoncostume ","4.6","38"
"13142","PORNO SQUILLO SHOP ","4.7","11"
"13143","Star 80 ","6.7","5063"
"13144","TUTTO IN COMUNE ",NA,NA
"13145","All That Jazz - Lo spettacolo continua ","7.8","23268"
"13146","Local Hero ","7.4","18210"
"13147","LA DONNA DELLA CALDA TERRA ","4.6","48"
"13148","Ragtime ","7.3","7679"
"13149","Hair ","7.6","31362"
"13150","LA CASA DELLE ORCHIDEE ","4.6","19"
"13151","L'INFERMIERA SPECIALIZZATA IN... ","4.5","100"
"13152","PROFUMO DI MARE ","5.6","96"
"13153","UNA CORSA SUL PRATO ","5.8","1245"
"13154","LA GEISHA DALLE MANI D'ACCIAIO ","6","8"
"13155","Charleston ","7.3","404"
"13156","Amare con rabbia ","6.3","1687"
"13157","I VENDICATORI DELLA NOTTE ","4.7","400"
"13158","QUELLA PORNO EROTICA DI MIA MOGLIE ",NA,NA
"13159","MARILYN - UNA VITA, UNA STORIA ","6.7","185"
"13160","OCCHEI OCCHEI ","3.2","19"
"13161","UNA VITA VENDUTA ","6.2","6"
"13162","SEX ERECTION ","6","28"
"13163","SEX PARTOUZE ","6.8","52"
"13164","ECCESSI PORNO ",NA,NA
"13165","PORNOESTASI ",NA,NA
"13166","Conan il distruttore ","5.9","69783"
"13167","LA FEBBRE DEL SUCCESSO ","5.8","3401"
"13168","Ashanti ",NA,NA
"13169","Sarah Bernhardt la più grande attrice di tutti i tempi ","6.3","148"
"13170","IL PRINCIPE E IL POVERO ","6.7","1404"
"13171","American Blue Jeans ","5.9","432"
"13172","LUCKY STAR ","7.5","1596"
"13173","NINJA LA FURIA UMANA ","6.1","3810"
"13174","L'aereo più pazzo del mondo... sempre più pazzo ","6.1","43637"
"13175","NEL MIRINO DI BLACK APHRODITE ","4.3","65"
"13176","LA PROFESSORESSA DI LINGUE ","6.1","25"
"13177","LA LEGGE DELLA CAMORRA ","3.7","35"
"13178","IL PETOMANE ","6.5","138"
"13179","Un povero ricco ","6","434"
"13180","Bingo Bongo ","6","1391"
"13181","La ragazza di Trieste ","6.2","290"
"13182","PORCA VACCA ","6.1","122"
"13183","Più bello di così si muore ","6","36"
"13184","CULO E CAMICIA ","5.7","200"
"13185","Adulterio all'italiana ","6.6","122"
"13186","Nessuno è perfetto ","5.6","186"
"13187","MANO LESTA ","6.9","61"
"13188","Il ladrone ","6.9","381"
"13189","Asino chi legge ",NA,NA
"13190","Mrs. Dalloway ","6.8","3204"
"13191","IL CORPO DELLA RAGASSA ","5.9","60"
"13192","Gegè Bellavita ","6","24"
"13193","Come perdere una moglie e trovare un amante ",NA,NA
"13194","Cara sposa ","6.2","26"
"13195","Autostop rosso sangue ","6.9","2129"
"13196","DIMMI CHE FAI TUTTO PER ME ","6.4","22"
"13197","STORIA DI PIERA ","6.4","546"
"13198","Storie di ordinaria follia ","6.8","2145"
"13199","Chiedo asilo ","6.3","458"
"13200","Ciao maschio ","6.6","955"
"13201","L'ultima donna ","6.8","926"
"13202","I FIGLI NON SI TOCCANO ",NA,NA
"13203","UN CUORE SEMPLICE ","5.4","11"
"13204","L'ANGELO DELLA VENDETTA ","6.8","6927"
"13205","METTI LE DONNE ALTRUI NE LO MIO LETTO... ","4.5","11"
"13206","E la nave va ","7.7","4792"
"13207","La città delle donne ",NA,NA
"13208","Prova d'orchestra ","7.3","3432"
"13209","Il Casanova di Federico Fellini ","7.1","6046"
"13210","I VIOLENTI DI ROMA BENE ","5.8","59"
"13211","FRATE AMBROGIO ","5.5","880"
"13212","IO, BEAU GESTE E LA LEGIONE STRANIERA ","6.1","1962"
"13213","LA TERZA GENERAZIONE ","7.1","1647"
"13214","UN ANNO CON 13 LUNE ","7.7","3076"
"13215","QUERELLE DE BREST ","6.8","4976"
"13216","VERONIKA VOSS ","7.9","5175"
"13217","DESPAIR ","7.3","1771"
"13218","ROULETTE CINESE ","7.5","2999"
"13219","LOLA ",NA,NA
"13220","Il diritto del più forte ","7.8","4237"
"13221","LILI MARLEEN ","7.2","3227"
"13222","IL MATRIMONIO DI MARIA BRAUN ","7.9","10567"
"13223","NIENTE VERGINI IN COLLEGIO ","4.7","441"
"13224","IL GIOCO DEGLI AVVOLTOI ","4.4","250"
"13225","Caravans ","6.7","665"
"13226","Filo da torcere ","6.3","20559"
"13227","Cielo di piombo ispettore Callaghan ","6.8","36998"
"13228","PENITENTIARY ","5.8","727"
"13229","Copkiller ","5.6","769"
"13230","Si salvi chi vuole ","4.2","22"
"13231","Forza Italia! ",NA,NA
"13232","Banana Republic ",NA,NA
"13233","Formula uno, febbre della velocità ",NA,NA
"13234","MOVIE RUSH - LA FEBBRE DEL CINEMA ","3.4","7"
"13235","Le deliranti avventure erotiche dell'agente speciale Margò ","6","2486"
"13236","L'ambizione di James Penfield ","6.6","306"
"13237","Chi amerà i miei bambini? ",NA,NA
"13238","OPERAZIONE GANYMED ","6.6","282"
"13239","PORNO LESBO ",NA,NA
"13240","UCCELLI D'AMORE ",NA,NA
"13241","Casanova Supersex ",NA,NA
"13242","SORVEGLIATE IL VEDOVO ","6.7","327"
"13243","1997: il principio dell'arca di Noé ","5","760"
"13244","REUBEN REUBEN ","6.8","881"
"13245","Calore nel ventre ","3.8","33"
"13246","SEXY HOTEL SERVIZIO IN CAMERA ","4.9","28"
"13247","PORNO FRENESIE DI UNA VERGINE ","4.1","49"
"13248","EXHIBITION STRIKE ","5.3","39"
"13249","GALACTICA: L'ATTACCO DEI CYLON ","7","1297"
"13250","I MIEI PROBLEMI CON LE DONNE ","5.2","1968"
"13251","Sulle orme della pantera rosa ","4.9","8584"
"13252","Victor Victoria ","7.6","17425"
"13253","SOB ","6.4","4958"
"13254","10 ","6","13766"
"13255","La vendetta della Pantera Rosa ","6.7","18068"
"13256","La Pantera Rosa sfida l'ispettore Clouseau ","7.3","24983"
"13257","Intimità proibite ",NA,NA
"13258","ILSA LA BELVA DEL DESERTO ","5.2","2330"
"13259","Christiane F. - Noi i ragazzi dello zoo di Berlino ","7.6","18957"
"13260","Honkytonk Man ","6.6","7058"
"13261","Coraggio... fatti ammazzare ","6.6","36147"
"13262","Firefox volpe di fuoco ","5.9","22705"
"13263","Bronco Billy ","6.1","9585"
"13264","L'uomo nel mirino ","6.4","18520"
"13265","Il texano dagli occhi di ghiaccio ","7.9","58447"
"13266","RENALDO E CLARA ","6.5","436"
"13267","LA DEROBADE VITA E RABBIA DI UNA PROSTITUTA PARIGINA ","6.3","346"
"13268","QUANDO PASSI DA QUESTE PARTI... ","7.7","331"
"13269","L'AMICO SCONOSCIUTO ","7.5","3857"
"13270","Come è cambiata la nostra vita ","6.8","198"
"13271","LA POLIZIA LI VUOLE MORTI ","5.6","290"
"13272","NELL'OCCHIO DELLA VOLPE ","6.5","135"
"13273","Barbagialla, il terrore dei sette mari e mezzo ","6","6744"
"13274","Mister mamma ","6.5","18642"
"13275","Amore al primo morso ","6.1","4867"
"13276","DIMENSIONE GIGANTI ","6.3","101"
"13277","LE STRABILIANTI AVVENTURE DI SUPERASSO ","2.8","822"
"13278","L'AVVENTUROSA FUGA ","6.7","19"
"13279","L'ASSEDIO ","7","4264"
"13280","GIOCATTOLO A ORE ","5.8","10183"
"13281","I RAGAZZI DEL MAX'S BAR ","7.4","1282"
"13282","Superman ","7.3","144302"
"13283","Il presagio ","7.6","94986"
"13284","GLI UOMINI NON POSSONO ESSERE VIOLENTATI ","6","263"
"13285","Charlie Chan e la maledizione della regina drago ","4.1","968"
"13286","Il ladro di Bagdad ","7.5","10443"
"13287","Femminilità ",NA,NA
"13288","Quel giorno a Rio ","5.7","9012"
"13289","Saturn 3 ","5.1","7305"
"13290","Il boxeur e la ballerina ","6.6","796"
"13291","Solo se il destino ","4.8","2504"
"13292","IL Bounty ","7.1","21080"
"13293","Tre sotto il lenzuolo ","3.3","9"
"13294","IL RE DELLA MONTAGNA ED ALTRI ",NA,NA
"13295","Bello di mamma ","5","20"
"13296","Baby Love ","5.8","364"
"13297","LE DEPORTATE DELLA SEZIONE SPECIALE SS ","4.7","357"
"13298","RAZZA VIOLENTA ","4","102"
"13299","Avere vent'anni ","6.2","770"
"13300","DIAMANTI SPORCHI DI SANGUE ","6.3","133"
"13301","I padroni della città ",NA,NA
"13302","PER QUESTA NOTTE ",NA,NA
"13303","Il piccolo Superman ","5.1","43"
"13304","Rémi ","6.2","5"
"13305","Backstreet ",NA,NA
"13306","DOSSIER 51 ","7.6","685"
"13307","UN DOLCE VIAGGIO ","8.1","531"
"13308","DANCE MUSIC ","6.1","28"
"13309","La supplente va in città ",NA,NA
"13310","ROCK'N ROLL ","6","2829"
"13311","Chatterbox... il sesso parlante ","5.1","455"
"13312","C'era una volta un amore ","2.9","219"
"13313","Tarzan l'uomo di scimmia ",NA,NA
"13314","PROFESSIONE: POLIZIOTTO ","6.4","2030"
"13315","TRE UOMINI DA ABBATTERE ","6.3","1197"
"13316","MORTI SOSPETTE ","6.8","564"
"13317","LA GANG DEL PARIGINO PIERROT LE FOU ",NA,NA
"13318","LA MOGLIE GIOVANE ","5.3","51"
"13319","Scarface ","8.3","643722"
"13320","Blow Out ","7.4","35729"
"13321","Vestito per uccidere ","7.1","29480"
"13322","HOME MOVIES - VIZIETTI FAMILIARI ","5.2","665"
"13323","Fury ","7.6","369928"
"13324","Carrie, lo sguardo di Satana ","7.4","147772"
"13325","Complesso di colpa ","6.8","7510"
"13326","L'ERETICA ","4.8","319"
"13327","Le porno detenute ","5.4","18"
"13328","FRANCISCA ","7.2","282"
"13329","I predatori di Atlantide ","4.9","1112"
"13330","Cannibal Holocaust ","5.9","45164"
"13331","CONCORDE AFFAIRE '79 ","5.6","396"
"13332","L'ULTIMO SAPORE DELL'ARIA ","5.8","55"
"13333","ULTIMO MONDO CANNIBALE ","6.1","2850"
"13334","GLI UOMINI DI MARTE ","5.8","32"
"13335","C'è un fantasma nel mio letto ","4.5","54"
"13336","Tranquille donne di campagna ","6.1","71"
"13337","La febbre americana ",NA,NA
"13338","Candido erotico ","4.8","198"
"13339","Il segno degli Hannan ","6.1","2167"
"13340","400.000 Dollari sull'asso di cuori ",NA,NA
"13341","L'UOMO PUMA ","2.2","3871"
"13342","Benvenuta ","6.8","144"
"13343","ROBA CHE SCOTTA ","6.5","854"
"13344","Braccato ","6.4","755"
"13345","PER LA PELLE DI UN POLIZIOTTO ","6.5","1286"
"13346","INVITO AL VIAGGIO ","6.2","109"
"13347","PISO PISELLO ","7.1","42"
"13348","Antonio Gramsci: i giorni del carcere ","6.2","41"
"13349","TRE ADORABILI VIZIOSE ","6","81"
"13350","STREET DOGS - I TEPPISTI DELLA STRADA ","6.3","380"
"13351","SQUADRA SPECIALE ANTIRAPINA ","6.7","28"
"13352","OVERDOSE ","6.8","589"
"13353","La felicità nel peccato ",NA,NA
"13354","CHE NOTTE, QUELLA NOTTE ","6","7"
"13355","MALEVIL ","6.3","526"
"13356","I SOLDI DEGLI ALTRI ","6.1","7234"
"13357","COME TI RAPISCO IL PUPO ","4.5","20"
"13358","PRIMA CHE SIA TROPPO PRESTO ",NA,NA
"13359","QUANTO ROMPE MIA MOGLIE ","5.6","67"
"13360","HANNO RUBATO LE CHIAPPE DI AFRODITE ","6.2","708"
"13361","DISAVVENTURE DI UN COMMISSARIO DI POLIZIA ","6.8","634"
"13362","Timerider - Una moto contro il muro del tempo ","5.4","1762"
"13363","LE LUNGHE NOTTI DELLA GESTAPO ","4.6","232"
"13364","Il detective con la faccia di Bogart ","6.4","437"
"13365","Ghiaccio verde ","5.6","704"
"13366","Emmanuelle fuga dall'Inferno ","4.9","736"
"13367","Virus ","6.8","26841"
"13368","Exhibition 80 ","5.4","790"
"13369","CLAUDINE BECCARIE E IL MONDO PROIBITO DE LES PORNOCRATES ","6.4","35"
"13370","Facciamo l'amore?... Purché rimanga tra noi ",NA,NA
"13371","PROSTITUTION ","6.6","40"
"13372","EXHIBITION ","5.4","790"
"13373","Emmanuelle l'infedele ","6.5","19"
"13374","IL BERSAGLIO ","5.9","678"
"13375","TURBO TIME ","6.2","15"
"13376","SAVANA SELVAGGIA ","2.9","128"
"13377","Brooklyn graffiti ","5.8","3126"
"13378","Happy Days - La banda dei fiori di pesco ","5.8","3126"
"13379","RECLUTE E SEDUTTORI ","5.4","1017"
"13380","L'ULTIMA VERGINE AMERICANA ","6.2","7031"
"13381","QUELLA FOLLE ESTATE ","5.7","1468"
"13382","POP LEMON ","6.5","2543"
"13383","La faccia violenta dI New York ","5.2","35"
"13384","L'ULULATO ","6.6","27064"
"13385","Pirana ","5.4","80115"
"13386","SEDUZIONE CONIUGALE ",NA,NA
"13387","LA PORNO AMANTE ",NA,NA
"13388","I RACCONTI IMMORALI DI MANUELA ",NA,NA
"13389","THE WORLD OF JOANNA ",NA,NA
"13390","Amityville Possession ","5.5","8911"
"13391","L'avvertimento ","5.9","2815"
"13392","Un uomo in ginocchio ","7.4","227"
"13393","Goodbye & Amen ","7.1","540"
"13394","Io ho paura ","7.5","435"
"13395","L'ANNO DEI GATTI ",NA,NA
"13396","LA SPIAGGIA DEL DESIDERIO ","6.7","2034"
"13397","L'INQUIETA ","6.1","501"
"13398","TURI E I PALADINI ",NA,NA
"13399","LA CERIMONIA DEI SENSI ","6.6","19"
"13400","SEXY JEANS ","6.1","1465"
"13401","UN'ESTATE PAZZESCA ","4.8","2261"
"13402","Venerdì 13 ","6.5","102154"
"13403","Ricche e famose ","5.9","1396"
"13404","Videodrome ","7.3","72535"
"13405","La zona morta ","7.2","52960"
"13406","Scanners - I pensieri possono uccidere ",NA,NA
"13407","Rabid - Sete di sangue ","6.4","12964"
"13408","Brood - La covata malefica ","6.9","21849"
"13409","Il demone sotto la pelle ","6.5","14934"
"13410","I GABBIANI VOLANO BASSO ","6.3","35"
"13411","PRENDIMI STRAZIAMI CHE BRUCIO DI PASSIONE - FRANKENSTEIN ALL'ITALIANA ","3.7","60"
"13412","VIVA D'ARTAGNAN ","6.8","42"
"13413","1855 - La grande rapina al treno ","7","13881"
"13414","Coma profondo ","6.9","15331"
"13415","NON SPARATE SUI BAMBINI ","6.5","15"
"13416","Benedizione mortale ","5.5","4224"
"13417","Le colline hanno gli occhi ","6.4","146271"
"13418","HERCULES ","6","134736"
"13419","CONTAMINATION - ALIEN ARRIVA SULLA TERRA ","5.3","3069"
"13420","SCONTRI STELLARI OLTRE LA TERZA DIMENSIONE ","3.9","5102"
"13421","LA PORTIERA NUDA ","4.7","32"
"13422","DEDICATO A UNA STELLA ","6.6","108"
"13423","COMMANDO D'ASSALTO ","5.7","179"
"13424","Melodrammore ","5.2","18"
"13425","Missing - Scomparso ","7.8","16200"
"13426","Chiaro di donna ","6.6","623"
"13427","Amici e nemici ","5.7","3715"
"13428","Sapore di mare 2 - Un anno dopo ","5.1","216"
"13429","CODICE D'ONORE ","7.7","209394"
"13430","IL FASCINO DEL DELITTO ","7.7","2015"
"13431","VOGLIA DI VIVERE VOGLIA D'AMARE ",NA,NA
"13432","LA MINACCIA ","6.7","597"
"13433","POLICE PYTHON 357 ","7","1387"
"13434","Questo e quello ","5.5","144"
"13435","Sing Sing ",NA,NA
"13436","Il conte Tacchia ","6.3","237"
"13437","Bello mio, bellezza mia ","7.6","12"
"13438","Chi trova un amico trova un tesoro ","7.2","8836"
"13439","Poliziotto superpiù ","6.4","5853"
"13440","Mi faccio la barca ","5.1","99"
"13441","Non ti conosco più amore ","6","46"
"13442","Giallo napoletano ","6.2","242"
"13443","Pari e dispari ","7.2","6580"
"13444","LA MAZZETTA ","7.5","71"
"13445","Ecco noi per esempio... ","5.7","247"
"13446","Tre tigri contro tre tigri ","5.5","189"
"13447","Il signor Robinson, mostruosa storia d'amore e d'avventure ","6.7","924"
"13448","Delitto in formula Uno ","6","241"
"13449","Il Diavolo e l'Acquasanta ","6.8","795"
"13450","Cane e gatto ","5.8","1338"
"13451","Delitto sull'autostrada ","6.1","229"
"13452","La casa stregata ","6.1","546"
"13453","Delitto al ristorante cinese ","6.3","310"
"13454","IL FICCANASO ","6.5","49"
"13455","Uno contro l'altro... praticamente amici ","6.1","174"
"13456","Delitto a Porta Romana ","6.4","217"
"13457","Agenzia Riccardo Finzi, praticamente detective ","6.3","133"
"13458","Assassinio sul Tevere ","6.3","182"
"13459","Squadra antigangsters ","5.5","178"
"13460","Squadra antimafia ","6","230"
"13461","Il figlio dello Sceicco ","7.3","1642"
"13462","Squadra antitruffa ","6.4","255"
"13463","MESSALINA MESSALINA! ","4.2","232"
"13464","Squadra antifurto ","6.5","204"
"13465","TRE MATTI IN UN COLLEGIO FEMMINILE ","5.3","247"
"13466","SALTY IL CUCCIOLO DEL MARE ","6.9","37"
"13467","PUSSY LA BALENA BUONA ","7.6","93"
"13468","...Unico indizio un anello di fumo ","5.7","350"
"13469","OPERAZIONE OVERLORD ","7.2","2122"
"13470","LA BIMBA DI SATANA ","4.1","492"
"13471","Mosè e i dieci comandamenti ",NA,NA
"13472","Le 7 città di Atlantide ",NA,NA
"13473","GLI UOMINI DELLA TERRA DIMENTICATA DAL TEMPO ","5.4","2407"
"13474","TEMPI BRUTTI PER SCOTLAND YARD ","5.1","168"
"13475","CENTRO DELLA TERRA: CONTINENTE SCONOSCIUTO ","5.2","3633"
"13476","Rusty il selvaggio ","7.2","28163"
"13477","I ragazzi della 56a strada ",NA,NA
"13478","DOPPIO COLPO ","6.9","465"
"13479","CECILIA ","6.7","103"
"13480","Cercasi Gesù ","6.1","139"
"13481","Voltati Eugenio ","7.2","67"
"13482","STANGATA NAPOLETANA ","7","13"
"13483","L'ingorgo ","6.8","696"
"13484","Il Gatto ","3.9","43621"
"13485","Quelle strane occasioni ","6.3","269"
"13486","Signore e signori, buonanotte ","6.8","558"
"13487","Cassiodoro il più duro del pretorio ","5.7","6"
"13488","Il bambino e il grande cacciatore ","7.1","1208"
"13489","UNO SPORCO EROE ","6.9","329"
"13490","Battaglie nella galassia ","7.1","12036"
"13491","SWITCH ","5.7","7745"
"13492","SFIDA SUL FONDO ","4.5","12"
"13493","DESTRUCTORS ","5.1","916"
"13494","FORZA: CINQUE ",NA,NA
"13495","CHI TOCCA IL GIALLO MUORE ","5.8","4231"
"13496","L'ultimo combattimento di Chen ","6.1","14638"
"13497","POLIZIOTTO PRIVATO: UN MESTIERE DIFFICILE ","5.4","350"
