"","tit","voto_IMDB","num_IMDB"
"144","Lady Vendetta ","7.6","62922"
"145","P3K - Pinocchio 3000 ","4","1017"
"146","Saw II ","6.6","213506"
"147","Match Point ","7.6","187527"
"148","40 anni vergine ","7.1","353331"
"149","The New World ","6.7","77545"
"150","Derailed - attrazione letale ","6.6","67189"
"151","U-Carmen eKhayelitsha ","6.7","614"
"152","I Segreti di Brokeback Mountain ","7.7","292669"
"153","Joyeux Noël - Una verità dimenticata dalla storia ",NA,NA
"154","Felix il coniglietto giramondo ",NA,NA
"155","La neve nel cuore ","6.3","55076"
"156","The Red Shoes ","8.3","23873"
"157","Dick e Jane - Operazione furto ","6.1","122890"
"158","Trappola in fondo al mare ","5.9","68929"
"159","Senza destino ","7","6149"
"160","Munich ","7.6","195199"
"161","Hans ","5.2","16"
"162","Travaux - lavori in casa ","5.4","670"
"163","Orgoglio e pregiudizio ","7.8","224408"
"164","The Door in the Floor ","6.7","14529"
"165","Per sesso o per amore? ","5.7","6012"
"166","La Cura del Gorilla ","6.4","335"
"167","Bambi 2 - Bambi e il grande principe della foresta ",NA,NA
"168","Fragile ","6.1","14438"
"169","Battaglia nel cielo ","5.6","5434"
"170","Persona non grata ","7","21758"
"171","Le bande ","4","5"
"172","Underworld: Evolution ","6.7","176866"
"173","North Country - Storia di Josey ","7.3","36411"
"174","La Contessa bianca ","6.7","5794"
"175","Le Tre sepolture ","7.4","36512"
"176","Cacciatore di teste ",NA,NA
"177","In un altro paese ","7.8","127"
"178","The Libertine ","6.4","33195"
"179","Prime ","6.2","37757"
"180","Transamerica ","7.4","38663"
"181","Jarhead ","7","159296"
"182","Casanova ","6.5","48685"
"183","Truman Capote: a sangue freddo ","7.4","114614"
"184","Quando l'Amore Brucia l'Anima - Walk The Line ","7.9","208064"
"185","Notte prima degli esami ","6.3","3769"
"186","Aeon Flux ","5.5","117967"
"187","Syriana ","6.9","118882"
"188","Hostel ","5.9","155727"
"189","La Terra ","7.4","4132"
"190","Stay - Nel labirinto della mente ","6.9","69047"
"191","Proof - La prova ","7","237800"
"192","Wallace & Gromit - La maledizione del coniglio mannaro ","7.3","1178"
"193","La guerra di Mario ","6.8","215"
"194","All the invisible children ","7.6","3598"
"195","The Constant Gardener ","7.4","123187"
"196","The Weather Man ","6.6","73873"
"197","Piano 17 ","6.5","390"
"198","Musikanten ","4.6","132"
"199","Il suo nome è Tsotsi ","7.3","26493"
"200","Torremolinos 73 ","6.7","3415"
"201","Il mio miglior nemico ","6.8","1355"
"202","Un giorno per sbaglio ","6.5","3845"
"203","La fiamma sul ghiaccio ","6.8","49"
"204","L'incubo di Darwin ","7.6","5158"
"205","Moolaadé ","7.7","3171"
"206","The Producers ","6.4","38001"
"207","Doom ",NA,NA
"208","Prova a incastrarmi - Find me Guilty ","7.1","30639"
"209","V per Vendetta ","8.2","929341"
"210","Saddam ","3.7","18"
"211","Angel-A ",NA,NA
"212","Forever Blues ","5.4","26"
"213","La vita segreta delle parole ","7.5","11186"
"214","La Pantera Rosa ","7.2","43519"
"215","L'ultima vacanza ","6.4","25342"
"216","Il Caimano ","6.7","4301"
"217","Final destination 3 ","5.8","117271"
"218","Tristano e Isotta ","6.5","63"
"219","Padre Pio ","7.7","603"
"220","Viaggio alla Mecca ",NA,NA
"221","Sangue - la morte non esiste ","6.6","139"
"222","Anche libero va bene ","7.5","2392"
"223","Sopra e sotto il ponte ","3.8","9"
"224","I tuoi, i miei e i nostri ","5.4","24368"
"225","Chiedi alla polvere ","5.8","8727"
"226","Il Grande Nord ","7.2","1494"
"227","Onde ","7","67"
"228","Il Cane giallo della Mongolia ","7.7","2663"
"229","Memoria del saccheggio ","8","894"
"230","Running ","7.4","93080"
"231","In ascolto - The Listening ","6.3","1011"
"232","Siamo tutti in ballo! ",NA,NA
"233","Il Grande silenzio ","7.8","11776"
"234","Il Fantasma di Corleone ","7.6","63"
"235","Le Mele di Adamo ","7.8","40894"
"236","False verità ",NA,NA
"237","Incontri d'amore ","6.1","1191"
"238","Mater Natura ","6","77"
"239","Le Particelle Elementari ","6.6","7511"
"240","Sesso e Filosofia ",NA,NA
"241","...E se domani ","5.8","139"
"242","Firewall - Accesso negato ","5.8","53236"
"243","Sono tornato al nord ","3.8","6"
"244","Roll Bounce ","6.1","6100"
"245","Romance and Cigarettes ","6.3","10823"
"246","Uno Zoo in fuga ","5.3","21593"
"247","Ti va di ballare? ","6.7","23486"
"248","Ti lascio perché ti amo troppo ","5.7","156"
"249","The Fog - Nebbia assassina ","3.6","32425"
"250","Terkel in Trouble ","7.1","8413"
"251","Solo 2 ore ","6.6","120313"
"252","Se solo fosse vero ","6.7","91356"
"253","Scary Movie 4 ","5.1","104611"
"254","Rischio a due ","6.2","40364"
"255","Rent ","7","45573"
"256","Nanny McPhee - Tata Matilda ","6.6","59566"
"257","Mission: Impossible III ","6.9","298088"
"258","Basta un niente ","6","21"
"259","Fuoco su di me ","6.6","77"
"260","Due volte lei ","6.7","4723"
"261","Basic Instinct 2 ","4.3","34495"
"262","Indian - La grande sfida ","7.8","48229"
"263","Inside Man ","7.6","307134"
"264","Factotum ","6.6","13020"
"265","La famiglia omicidi ","6.8","31023"
"266","A casa con i suoi ","5.6","65633"
"267","L'era glaciale 2 - Il disgelo ","6.8","227116"
"268","Il regista di matrimoni ","6.4","645"
"269","Zathura ","6.2","81501"
"270","8 amici da salvare ","7.3","55229"
"271","Yo-Rhad un amico dallo spazio ","3.3","9"
"272","Una Top Model nel mio letto ","6.6","9048"
"273","Free Zone ","5.8","2695"
"274","Bittersweet Life ","5.9","11"
"275","FBI operazione Tata ","4.7","36849"
"276","Una cosa chiamata felicità ",NA,NA
"277","I re e la regina ","7.2","3454"
"278","Bubble ","6.6","7265"
"279","Whisky ","7.2","4481"
"280","La casa del diavolo ","6.9","84600"
"281","Il codice Da Vinci ","6.6","363280"
"282","4-4-2 - Il gioco più bello del mondo ","5.9","220"
"283","Volver - Tornare ","7.6","86155"
"284","Occupation: Dreamland ","7.3","411"
"285","Aquamarine ","5.3","34829"
"286","X-Men: Conflitto finale ","6.7","439720"
"287","Una magica notte d'estate ","5.5","281"
"288","One Last Dance ","5.7","1288"
"289","Poseidon ","5.6","90481"
"290","Radio America ","6.8","20839"
"291","L'estate del mio primo bacio ","5.6","154"
"292","Vita da camper ","5.5","51687"
"293","Annapolis ","5.8","19245"
"294","11:11 - La paura ha un nuovo numero ","3.7","1236"
"295","Cappuccetto rosso e gli insoliti sospetti ","6.5","51494"
"296","10 Canoe ","7","4110"
"297","La dignità degli ultimi ",NA,NA
"298","The Breed - La razza del male ","5.1","11341"
"299","Omen - Il presagio ","7.6","94927"
"300","American Dreamz ","5.5","23564"
"301","Hooligans ","7.5","131591"
"302","L'enfer ","7.2","3597"
"303","My Father ","6.7","195"
"304","Il calamaro e la balena ","7.4","68199"
"305","Il diamante bianco ","7.5","3972"
"306","Bombón - El Perro ","7.1","4020"
"307","Antonio, guerriero di Dio ",NA,NA
"308","Shaggy Dog - Papà che abbaia...non morde ",NA,NA
"309","Ultraviolet ","4.4","75602"
"310","Un po' per caso, un po' per desiderio ","6.8","3854"
"311","Due per un delitto ","5.9","1020"
"312","Half Light ","6","12396"
"313","Detective a 2 ruote ","4.1","5211"
"314","Hawaii, Oslo ","7.1","4361"
"315","Peperoni ripieni e pesci in faccia ","4.8","72"
"316","Verso il Sud ","6.3","5473"
"317","L'isola di Ferro ",NA,NA
"318","The Sentinel ","6.4","7881"
"319","Curioso come George ","6.5","14198"
"320","Il custode ","4","5025"
"321","Hot Movie ","2.8","53994"
"322","Kinky Boots ","7.1","16527"
"323","La casa sul lago del tempo ","6.8","127017"
"324","L'amore sospetto ","6.7","4570"
"325","I figli del secolo ","6.5","1527"
"326","Diario del saccheggio ","8","894"
"327","The Dark ","7.2","180357"
"328","Le temps qui reste ","7.1","7966"
"329","Bandidas ","5.7","31823"
"330","Slither ","6.5","68534"
"331","Imagine Me and You ","6.8","26804"
"332","Chiamata da uno sconosciuto ","5.1","39376"
"333","Shutter ","7.1","36544"
"334","La spina del diavolo ","7.5","55862"
"335","13 - Tzameti ","7.4","15930"
"336","Pirati dei Caraibi: la maledizione del forziere fantasma ","7.3","599042"
"337","Il mercante di pietre ","4.3","891"
"338","The Queen - La regina ","6.5","550"
"339","The Road to Guantanamo ","7.5","10871"
"340","Confetti ","5.8","4734"
"341","Ant Bully - Una vita da formica ","5.8","33807"
"342","Dreamer ","6.9","11174"
"343","Little Miss Sunshine ","7.8","400687"
"344","Nuovomondo ","6.9","4489"
"345","Ti odio, ti lascio, ti... ","5.8","114075"
"346","Profumo - Storia di un assassino ","7.5","214342"
"347","L'orchestra di piazza Vittorio ","7.6","131"
"348","Baciami piccina ","6.7","103"
"349","Cambia la tua vita con un click ","6.4","277290"
"350","Clerks II ","7.4","122974"
"351","Lady in the Water ","5.6","87913"
"352","Snakes on a Plane ","5.5","124321"
"353","Miami Vice ","7.5","19945"
"354","Scoop ","6.7","74930"
"355","La commedia del potere ","6.4","2592"
"356","Water ",NA,NA
"357","Rize ","7.1","2975"
"358","Princesas ","5.6","1661"
"359","World Trade Center ","6","73158"
"360","Il diavolo veste Prada ","6.9","329283"
"361","A est di Bucarest ","7.4","6426"
"362","Cars - motori ruggenti ",NA,NA
"363","Superman Returns ","6.1","257322"
"364","Pulse ","4.7","26732"
"365","La stella che non c'è ","6.8","813"
"366","Garfield 2 ","5","33687"
"367","Slevin - Patto criminale ","7.8","284983"
"368","Domino ",NA,NA
"369","Le colline hanno gli occhi ","6.4","146215"
"370","Thank You for Smoking ","7.6","203948"
"371","Stormbreaker ","5.1","21982"
"372","United 93 ","7.6","91536"
"373","Belle toujours - Bella sempre ","6.5","922"
"374","As You Like It - Come vi piace ","6.3","2797"
"375","Non è peccato - La Quinceañera ",NA,NA
"376","Quel nano infame ","4.3","45065"
"377","Crossing the Bridge ","6.5","708"
"378","Five Fingers - Gioco mortale ","6.4","7436"
"379","Mare nero ","5","155"
"380","Le seduttrici ","6.5","10695"
"381","Friends with Money ","5.8","23562"
"382","Time ","6.7","339636"
"383","Lettere dal Sahara ","6.8","64"
"384","C.R.A.Z.Y. ","8","29842"
"385","Arrivederci amore, ciao ","6.9","1158"
"386","DOA: Dead or Alive ","4.8","41219"
"387","Per non dimenticarti ","7.2","45"
"388","The Dreamers - I sognatori ","7.2","97650"
"389","Monster House ","6.6","86658"
"390","N io e Napoleone ","6.3","1118"
"391","Born into Brothels ","7.3","14463"
"392","Fur ","6.5","14394"
"393","L'imbroglio - The Hoax ","6.7","15433"
"394","Giardini in autunno ","6.5","526"
"395","La sconosciuta ","7.5","12138"
"396","A Scanner Darkly ","7.1","98482"
"397","The Departed - Il bene e il male ","8.5","1041183"
"398","Down in the Valley ","6.4","17298"
"399","Neil Young: Heart of Gold ","7.8","2677"
"400","Babel ","7.5","268698"
"401","La gang del bosco ","6.7","143935"
"402","Fascisti su Marte ","6.7","783"
"403","Il segreto di Esma ","7.3","5490"
"404","Primi amori, primi vizi, primi baci ","6.8","2770"
"405","Ricky Bobby: la storia di un uomo che sapeva contare fino a uno ","6.6","149362"
"406","Salvatore - Questa è la vita ","6.1","97"
"407","Viaggio segreto ","5.8","130"
"408","Uomini e donne ","2.3","48"
"409","Il giorno + bello ",NA,NA
"410","L'ultima porta ","5","903"
"411","Tu, io e Dupree ","5.6","73943"
"412","Azur e Asmar ","7.4","2393"
"413","Super Nacho ","5.7","74190"
"414","La mia super ex ragazza ","5.1","58307"
"415","Boog e Elliot a caccia di amici ","6.1","76194"
"416","Requiem ","6.5","3970"
"417","Mille miglia...lontano ",NA,NA
"418","Casino Royale ","8","527818"
"419","Apocalypto ","7.8","265743"
"420","Marie Antoinette ","6.4","91152"
"421","Flags of Our Fathers ","7.1","110029"
"422","L'amico di famiglia ","7.1","2934"
"423","A casa nostra ","6.4","719"
"424","The Grudge 2 ","5","43507"
"425","Chestnut ",NA,NA
"426","Il vento che accarezza l'erba ","7.5","41641"
"427","Giù per il tubo ","6.6","99432"
"428","I figli degli uomini ","7.9","417038"
"429","Quale amore ","6","148"
"430","The Lost City ","6.7","8830"
"431","Anplagghed al cinema ","6.6","923"
"432","Grizzly Man ","7.8","47253"
"433","Santa Clause è nei guai ","4.7","27617"
"434","Una scomoda verità ",NA,NA
"435","Il Labirinto del fauno ","8.2","556167"
"436","Ma l'amore...sì ","5.2","27"
"437","Nativity ","6.8","9085"
"438","Paradiso + Inferno ","5.3","6"
"439","Shortbus ","6.5","30018"
"440","Pasolini prossimo nostro ","7.2","121"
"441","Conciati per le feste ","4.9","19767"
"442","Il prescelto ","3.7","58974"
"443","Le rose del deserto ","6.6","341"
"444","Happy Feet ","6.5","153211"
"445","In viaggio con Evie  ","6.8","10222"
"446","La vera leggenda di Tony Vilar ","6.9","43"
"447","Eragon ","5.1","115861"
"448","Cambio d'indirizzo ","6.7","675"
"449","Tutti gli uomini del re ","6.2","22416"
"450","Non aprite quella porta: l'inizio ","5.9","63034"
"451","Cuori ","7","3545"
"452","Il mio migliore amico ","6.7","5807"
"453","Borat ",NA,NA
"454","The Prestige ","8.5","1029801"
"455","Natale a New York ","4","1107"
"456","The Ice Harvest ","6.3","22077"
"457","Commediasexi ","4.7","466"
"458","Un'ottima annata ","7","80828"
"459","Olé ","3","470"
"460","Rocky Balboa ","7.2","184585"
"461","Déjà Vu - Corsa contro il tempo ",NA,NA
"462","L'aria salata ","7.2","236"
"463","La strada di Levi  ","6.5","112"
"464","L'arte del sogno ","7.3","65203"
"465","L'albero della vita ","6.4","3078"
"466","Hollywoodland ","6.5","31142"
"467","Spider-Man 3 ","6.2","446605"
"468","Arthur e il popolo dei Minimei ","6","29547"
