"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"Do No Harm ";"3.64";"2013";" Drammatico";" USA";" 43 Min";" NBC Universal Television";" Cancellata";" Steven Pasquale, Alana De La Garza, Phylicia Rashad, Michael Esper, Ruta Gedmintas, Lin-Manuel Miranda, John Carroll Lynch, Samm Levine";"                                            Il Dott. Jason Cole è un rispettato neurochirurgo che dalla vita ha avuto tutto - una carriera di successo, fascino e il dono della compassione. Ma ha anche un profondo e oscuro segreto. Ogni sera qualcosa in lui cambia, rendendolo quasi irriconoscibile - seducente, subdolo e con un disturbo borderline della personalità. Questo nuovo uomo è il suo pericoloso alter ego, Ian Price, che per anni Jason è riuscito a controllare con un sedativo. Ora però che il suo fisico ha sviluppato una resistenza al siero, Ian è deciso a vendicarsi con il suo oppressore."
"Zero Hour ";"2.63";"2013";" Drammatico";" USA";" 42 Min";" ABC Studios";" Cancellata";" Anthony Edwards, Jacinda Barrett, Addison Timlin, Scott Michael Foster, Carmen Ejogo, Michael Nyqvist";"                                            Come editore di una rivista per appassionati di paranormale, Hank Galliston ha trascorso la carriera seguendo gli indizi, sfatando miti e rivelando cospirazioni. Quando però sua moglie viene rapita nel suo negozio di orologi antichi, Hank resta coinvolto in uno dei misteri più interessanti della storia umana, che attraversa il mondo e affonda le radici nello scorrere dei secoli. Uno degli orologi di Laila nasconde una mappa del tesoro. Ora spetta a Hank decifrarne i simboli e assicurarsi che le risposte non finiscano nelle mani sbagliate."
"A proposito di Brian ";"2";"2006";" Drammatico";" USA";" 45 Min";" Touchstone Television";" Cancellata";" Barry Watson, Matthew Davis, Rick Gomez, Amanda Detmer, Rosanna Arquette, Sarah Lancaster, Jason George, Amanda Foreman, Raoul Bova";"                                            Solitamente, superata la soglia dei trent’anni, un uomo, soprattutto se affascinante e intelligente, dovrebbe essere un marito e un padre. “Solitamente”, perché per Brian Davis non è così. Benché le donne di Venice Beach gli corrano dietro (ma lui è innamorato soltanto di Marjorie, prossima all’altare con il suo migliore amico Adam), Brian non ha intenzione di accasarsi, e gli amici, inclusa la sorella Nicole, cercano, senza successo, di fargli vivere e apprezzare l’esperienza del matrimonio."
"Cult ";"2.4";"2013";" Drammatico";" USA";" 42 Min";" Warner Bros. Television";" Cancellata";" Matthew Davis, Jessica Lucas, Alona Tal, Robert Knepper";"                                            Il giornalista investigativo Jeff Sefton si è sempre divertito ascoltando le storie strampalate del fratello Nate, in particolare la sua ultima teoria secondo cui uno show tv sta cercando di fargli del male. Quando quest’ultimo scompare, un Jeff paranoico comincia a prendere sul serio le parole di Nate, scoprendo il mondo cupo che circonda la serie Cult e i suoi fan. L’unica disposta ad aiutarlo nelle indagini è Skye, l’assistente di produzione di Cult, la quale nutre dei sospetti sugli avvenimenti sempre più oscuri che stanno accadendo attorno allo show."
"Banshee ";"3.86";"2013";" Drammatico";" USA";" 45 Min";" Your Face Goes Here Entertainment";" Conclusa";" Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison, Hoon Lee, Matt Servitto, Ryann Shane, Lili Simmons, Chris Coy";"                                            Tornato in libertà dopo 15 anni di prigionia per un tentativo di rapina finito male, Lucas Hood si mette sulle tracce della sua ex amante e complice. Raggiunta Banshee, una piccola città in Pennsylvania sottomessa a un potente uomo d’affari, Lucas ruba l’identità dello sceriffo locale in seguito a una serie di sviluppi rocamboleschi, con l’intento di proseguire le sue attività criminali. Nel frattempo, alcuni loschi individui del passato, gli stessi che aveva tradito, tentano in tutti i modi di braccarlo."
"Golden Boy ";"4.07";"2013";" Poliziesco";" USA";" 43 Min";" Warner Bros. Television";" Cancellata";" Theo James, Chi McBride, Kevin Alejandro, Bonnie Somerville, Holt McCallany, Stella Maeve";"                                            Intervistato sulla storia della sua carriera, Walter William Clark Jr. ripercorre il suo combattuto viaggio da ragazzo di strada a uno degli uomini di legge più potenti del sistema. Dopo soli tre anni come poliziotto, l’eroismo e il coraggio di Clark sono ricompensati con un posto nella Omicidi, tra il disappunto dei colleghi. Mentre lavora al fianco del burbero Don Owen, cui rinuncerebbe volentieri per l’ambizioso Christian Arroyo, Clark basa le sue decisioni unicamente sul bisogno di avere successo nel modo più rapido possibile. Ma a quale prezzo?"
"Red Widow ";"3";"2013";" Drammatico";" USA";" 43 Min";" ABC Studios";" Cancellata";" Radha Mitchell, Goran Visnjic, Sterling Beaumon, Erin Moriarty, Jakob Salvati, Clifton Collins Jr., Luke Goss, Lee Tergesen, Suleka Mathew";"                                            Marta Walraven sembra avere una vita idilliaca. Come madre e moglie, si è dedicata ai suoi figli e al marito. Ma dietro questa facciata perfetta, si nasconde una storia complessa: Evan, il marito di Marta, mantiene la famiglia spacciando marijuana. Anche lei conosce bene il mondo della criminalità, essendo suo padre e la sua fedele spalla due dei gangster più noti di San Francisco. Da sempre lei e la sorella Kat dicono di voler scappare, senza mai riuscirci del tutto. Figurarsi ora che Marta pretende giustizia per l’assassinio del marito."
"Primeval: New World ";"3.79";"2012";" Fantascienza";" Canada";" 42 Min";" Omni Film Productions";" Cancellata";" Niall Matter, Sara Canning, Danny Rahim, Crystal Lowe, Miranda Frigon, Geoff Gustafson";"                                            Evan Cross, geniale inventore, guida un gruppo di esperti e scienziati la cui missione è dare la caccia ai dinosauri e agli altri feroci predatori che, a causa di alcune anomalie spazio-temporali, hanno cominciato a comparire nelle strade di Vancouver, in Canada. Ad aiutare Evan sono l’avventurosa Dylan, lo specialista della sicurezza Mac, il prodigio della fisica Toby, la vecchia amica e socia in affari Ange, e l’iper-zelante tenente Ken Leeds, capo di una fantomatica unità di ricerca del governo."
"Bates Motel ";"3.96";"2013";" Horror";" USA";" 47 Min";" Universal Television";" Conclusa";" Vera Farmiga, Freddie Highmore, Max Thieriot, Olivia Cooke, Nestor Carbonell, Kenny Johnson, Nicola Peltz";"                                            Dopo la morte del padre, vittima apparentemente di un incidente, il 17enne Norman Bates e sua madre Norma si trasferiscono nella sonnolenta città di White Pine Bay per cominciare una nuova vita. Norma acquista un motel, mentre un Norman restio incontra i compagni di scuola, tra cui la bella e popolare Bradley e l’eccentrica Emma, affetta da una grave malattia. Entrambi brillanti ed emotivamente complessi, madre e figlio si ritrovano velocemente in una difficile situazione quando il loro lato oscuro viene allo scoperto."
"Vikings ";"4.31";"2013";" Drammatico";" Canada";" 45 Min";" Octagon Films, Take 5 Productions";" In Lavorazione";" Katheryn Winnick, Clive Standen, Gustaf Skarsgård, Alexander Ludwig, John Kavanagh, Moe Dunford, Alex Høgh, Marco Ilsø, Jordan Patrick Smith";"                                            Il guerriero vichingo Ragnar Lothbrok desidera esplorare le civiltà attraversando le acque dell'oceano. La sua ambizione si contrappone però all'ostinazione del capo locale, il Conte Haraldson, che non vuole rischiare di perdere le sue navi e i suoi predoni inviandoli nell'inesplorato Ovest. Aiutato dall'amico Floki, un costruttore di barche, Ragnar crea una nuova generazione di navi capace di domare il mare agitato del Nord, senza immaginare lo spargimento di sangue cui la sua gente sta per essere chiamata in nome della supremazia e della gloria."
"Ricomincio... dai miei ";"3";"2013";" Commedia";" USA";" 22 Min";" 20th Century Fox Television";" Cancellata";" Sarah Chalke, Elizabeth Perkins, Rachel Eggleston, Brad Garrett, Jon Dore, Stephanie Hunt";"                                            Polly è una mamma single da poco divorziata. In difficoltà a causa della crisi economica, decide di trasferirsi con la figlia Natalie nella casa dei genitori, gli eccentrici Elaine e Max, nonostante non potrebbe essere più diversa da loro. Polly è molto ansiosa e cauta nelle relazioni. I suoi genitori troppo rilassati e sessualmente avventurosi. Aiutata dalla sua divertente collega e amica Jenn e dall’adorabile ma irresponsabile ex marito Julian, Polly prova a muovere i primi passi verso una nuova vita."
"Hannibal ";"3.88";"2013";" Drammatico";" USA";" 43 Min";" Gaumont International Television";" Cancellata";" Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne, Scott Thompson, Aaron Abrams, Lara Jean Chorostecki, Gillian Anderson, Hettienne Park";"                                            Will Graham è un profiler di talento a caccia di un serial killer con l’FBI. Graham ha un modo unico di ragionare, che gli dà la capacità sorprendente di “empatizzare” con chiunque - anche gli psicopatici. Ma quando la mente del criminale che sta seguendo si rivela troppo contorta anche per lui, Will cerca l’aiuto del Dott. Lecter, uno dei migliori psichiatri del Paese. Armato dell’incredibile conoscenza del dottore, i due formano una coppia straordinaria cui nessun cattivo sembra poter sfuggire. Se solo Will sapesse..."
"Da Vinci's Demons ";"3.91";"2013";" Drammatico";" USA";" 60 Min";" BBC Worldwide Productions";" Conclusa";" Tom Riley, Laura Haddock, Blake Ritson, Elliot Cowan, Lara Pulver, James Faulkner, Gregg Chillin";"                                            Di fronte a un futuro incerto, Leonardo da Vinci, un giovane torturato da un ingegno sovrumano, lotta contro coloro che usano la storia per sopprimere la verità. Considerato un eretico per voler smascherare le menzogne della religione, e un ribelle per i suoi tentativi di sovvertire una società elitaria, questo eroe armato solo del proprio genio emerge come una forza inarrestabile che solleva un’epoca buia spingendola verso la luce. Verso un mondo in cui il pensiero e la fede non sono un’imposizione ma una libertà."
"Defiance ";"3.83";"2013";" Fantascienza";" USA";" 43 Min";" Universal Cable Productions";" Cancellata";" Grant Bowler, Julie Benz, Stephanie Leonidas, Tony Curran, Jaime Murray, Graham Greene, Jesse Rath, Anna Hopkins, James Murray";"                                            Nel 2046, più di trent’anni dopo l’arrivo sulla Terra di diverse razze aliene, il paesaggio è profondamente cambiato, così come il modo di vivere degli umani. L’arrivo a Defiance, città di frontiera nota un tempo come St. Louis, del misterioso avventuriero Nolan - un ex militare che ha partecipato al conflitto alieno - e del suo braccio destro Irisa, è visto come una speranza dal sindaco Amanda Rosewater, che spera di respingere con il loro aiuto i pericoli che ogni giorno minacciano la pace e la sopravvivenza nella sua comunità."
"Six Degrees ";"1.75";"2006";" Drammatico";" USA";" 43 Min";" Touchstone Television";" Cancellata";" Erika Christensen, Hope Davis, Jay Hernandez, Dorian Missick, Bridget Moynahan, Campbell Scott";"                                            Mae, Laura, Carlos, Damian, Whitney e Steven sono sei persone le quali non potrebbero essere più diverse le une dalle altre. Tre uomini e tre donne con un solo elemento in comune: vivono tutti nella caotica New York, dove fiumi di persone si incontrano e si sfiorano a ogni ora del giorno e della notte. Ed è proprio l’enorme metropoli il centro di una ragnatela in cui le loro esistenze si intrecciano, tra coincidenze assurde e strani scherzi del destino."
"Shark ";"2.25";"2006";" Drammatico";" USA";" 34 Min";" 20th Century Fox Television";" Cancellata";" James Woods, Jeri Ryan, Danielle Panabaker, Sophina Brown, Sarah Carter, Henry Simmons, Kevin Alejandro, Sam Page, Alexis Cruz";"                                            Sebastian Stark è un brillante e carismatico avvocato di Los Angeles. Il cinismo e la poca integrità hanno permesso per anni a Sebastian di schierarsi dalla parte dei colpevoli senza che questo minasse la sua autostima, distratto dal tenore di vita conquistato grazie ai lauti guadagni. Tuttavia, quando una tragica vicenda lo coinvolge, l’avvocato decide di cambiare atteggiamento e lavorare per il procuratore distrettuale come coordinatore di un team di avvocati giovane e inesperto."
"Family Tools ";"1.5";"2013";" Commedia";" USA";" 22 Min";" ABC Studios";" Cancellata";" Kyle Bornheimer, J.K. Simmons, Edi Gathegi, Johnny Pemberton, Danielle Nicolet, Leah Remini";"                                            Jack Shea non ha mai avuto molta fortuna nella sua carriera. Che si sia trattato della scuola di polizia o del seminario, Jack ha fatto tutte le volte la mossa sbagliata, mettendosi puntualmente nei guai. Quando suo padre Tony ha un infarto ed è costretto a cedere le chiavi dalla sua attività di tuttofare al figlio, Jack decide di mettere da parte i suoi sogni e cogliere l’occasione per rafforzare il suo legame con l’uomo. Tuttavia, i suoi limiti e l’atteggiamento da piantagrane del suo assistente Darren non gli rendono le cose facili."
"The Goodwin Games ";"2.75";"2013";" Commedia";" USA";" 22 Min";" Fox Television Studios";" Cancellata";" Scott Foley, Becki Newton, T.J. Miller, Melissa Tang, Kat Foster";"                                            Dopo la morte del padre multimilionario, i fratelli Henry, Chloe e Jimmy Goodwin tornano a casa sicuri di meritarsi una grossa fetta dell’eredità. Scoprono invece che non otterranno nulla finché non avranno obbedito ai desideri del defunto. Attraverso una serie di sfide uniche – coordinate dall’avvocatessa e amministratrice del patrimonio familiare April – Benjamin spera di incoraggiare i figli a riscoprire la loro vera essenza e impartirgli gli insegnamenti che non era riuscito a infondergli da vivo."
"Motive ";"3.84";"2013";" Poliziesco";" Canada";" 43 Min";" Bell Media";" Conclusa";" Kristin Lehman, Louis Ferreira, Brendan Penny, Lauren Holly, Cameron Bright, Roger R. Cross, Warren Christie, Valerie Tian";"                                            Quando c'è un omicidio da risolvere, Angie Flynn, un'amorevole mamma single e una instancabile detective della Omicidi di Vancouver, e il suo partner Oscar Vega sono i primi a rimboccarsi le maniche in cerca di indizi in grado di condurli all'assassino. Completano la squadra di Flynn il medico legale con uno spiazzante senso dell'umorismo Betty Rogers; il sergente Boyd Bloom, allontanato dalle strade da un proiettile; e il giovane detective Brian Lucas, desideroso d'imparare dai migliori e affascinato dagli aspetti più raccapriccianti del suo mestiere."
"Mr Selfridge ";"3.64";"2013";" Drammatico";" Gran Bretagna";" 45 Min";" ITV Studios";" Conclusa";" Jeremy Piven, Tom Goodman-Hill, Amanda Abbington, Kika Markham, Ron Cook, Trystan Gravelle, Samuel West, Amy Beth Hayes, Deborah Cornelius";"                                            Nel 1909 Oxford Street non è conosciuta ancora come una delle strade più glamour di Londra. Un importante passo verso quel primato è compiuto quando il magnate americano Harry Gordon Selfridge decide di aprire i migliori grandi magazzini che il mondo abbia mai visto. Harry si leva come un imprenditore e showman esuberante e dall’appetito potenzialmente pericoloso: dietro le vetrine e i banconi luccicanti di Selfridges, la sua ambizione s’interseca con i desideri del suo staff, della sua famiglia e dei suoi clienti."
"Save Me ";"2.67";"2013";" Commedia";" USA";" 21 Min";" Sony Pictures Television";" Cancellata";" Anne Heche, Michael Landes, Alexandra Breckenridge, Heather Burns, Madison Davenport, Joy Osmanski";"                                            Dopo un’esperienza di premorte, Beth – moglie e madre assente – torna in sé solo per rendersi conto che ora ha un filo diretto con Dio. La figlia adolescente Emily e il marito Tom sono scettici e sprezzanti verso simili farneticazioni, e l’ex amante di quest’ultimo non potrebbe essere più d’accordo. Tuttavia, quando iniziano ad accadere delle cose inspiegabili, e Beth comincia a dire e fare cose che turbano la sua famiglia e i suoi amici, le convinzioni di ognuno sono messe alla prova."
"Twisted ";"3.98";"2013";" Drammatico";" USA";" 40 Min";" ABC Family Original Productions";" Cancellata";" Avan Jogia, Maddie Hasson, Kylie Bunbury, Denise Richards, Ashton Moio, Kimberly Quinn, Sam Robards";"                                            Danny Desai è un sedicenne carismatico riunitosi recentemente alle due migliori amiche d’infanzia Jo e Lacey nella sua città natale, dov’è tornato per frequentare il liceo. Con un passato turbolento alle spalle, che include l’assassinio cinque anni prima della zia, Danny diventa il primo sospettato per l’omicidio di una compagna di scuola. Mentre cerca di tenere segreto il vero motivo della morte di sua zia, Danny, trattato al pari di un sociopatico, cerca di dimostrare la sua innocenza e ripulire il proprio nome."
"Mistresses ";"3.83";"2013";" Drammatico";" USA";" 43 Min";" ABC Studios";" Cancellata";" Yunjin Kim, Rochelle Aytes, Jes Macallan, Brett Tucker, Rob Mayes, Tabrett Bethell, Jennifer Esposito, Jason Winston George, Alyssa Milano";"                                            Savi è una donna in carriera la quale sta lavorando per la prossima fase della sua vita come proprietaria di uno studio legale e moglie di Harry. Sua sorella Josselyn, uno spirito libero e una baby-sitter capricciosa, non potrebbe essere più diversa: vive da sola e frequenta uomini e feste sempre diversi. La loro migliore amica comune, April, da poco vedova e madre di due bambini, sta ricostruendo la sua vita dopo la tragedia. Karen, invece, è una psichiatra di successo e si ricongiunge alle tre dopo una storia complicata con un paziente."
"Continuum ";"3.54";"2012";" Fantascienza";" Canada";" 44 Min";" Reunion Pictures, Shaw Media";" Conclusa";" Rachel Nichols, Victor Webster, Erik Knudsen, Roger R. Cross, Stephen Lobo, Omari Newton, Luvia Petersen, Brian Markinson, Ryan Robbins";"                                            Vancouver, 2077. Quando i Liber8, un gruppo di ribelli, fugge nell’anno 2012 per cambaindo il passato e, quindi, sovvertire il regime dittatoriale del futuro, l’agente Kiera Cameron è coinvolta involontariamente nel processo. Aiutata dal detective Carlos Fonnegra e dagli altri membri del dipartimento di polizia dell’epoca, tra cui il genio del computer Alec Sadler, Kiera lavora per trovare e fermare i combattenti senza rivelare la propria identità, e senza perdere il desiderio di tornare a casa e riunirsi alla famiglia."
"Graceland ";"2.81";"2013";" Drammatico";" USA";" 42 Min";" Fox Television Studios";" Cancellata";" Daniel Sunjata, Aaron Tveit, Vanessa Ferlito, Manny Montana, Brandon Jay McLaren, Serinda Swan";"                                            Mike Warren ha sempre sognato un posto a Washington dopo gli studi a Quantico, ma il governo ha preferito spedirlo a Graceland, una sontuosa villa affacciata sull’oceano della California, diventata una sorta di rifugio per un gruppo di agenti sotto copertura dell’FBI, della DEA e della Dogana con personalità molto distinte. Affidato al leggendario Paul Briggs, un tipo indurito da anni di esperienza, Mike deve imparare a uscire dai binari e fare del suo meglio per guadagnarsi il rispetto di Briggs e dei suoi nuovi coinquilini."
"Under the Dome ";"4.09";"2013";" Fantascienza";" USA";" 43 Min";" CBS Television Studios, DreamWorks Television";" Conclusa";" Mike Vogel, Rachelle Lefevre, Dean Norris, Colin Ford, Alexander Koch, Mackenzie Lintz, Eddie Cahill, Kylie Bunbury, Aisha Hinds";"                                            In un futuro non molto lontano, le vite degli abitanti di Chester’s Mill, una cittadina nello stato del Maine, sono sconvolte quando si ritrovano tagliate fuori dal mondo da una misteriosa, invisibile e impenetrabile barriera, qualcosa di simile a una cupola, apparsa intorno alla città. Mentre il panico esplode nelle strade, un gruppetto di persone – incluso il veterano dell’Esercito Dale ‘Barbie’ Barbara e la reporter investigativa Julia Shumway – cerca di mantenere l’ordine e scoprire la verità dietro gli ultimi eventi."
"The Fosters ";"3.75";"2013";" Drammatico";" USA";" 42 Min";" ABC Family Original Productions";" Conclusa";" Teri Polo, Sherri Saum, Maia Mitchell, David Lambert, Cierra Ramirez, Hayden Byerly, Danny Nucci, Noah Centineo, Jake T. Austin";"                                            Stef, un'appassionata agente di polizia, e la sua compagna Lena, vice preside di una scuola, sono riuscite a costruire la famiglia amorevole che hanno sempre sognato accogliendo sotto il loro tetto Brandon, il figlio che Stef ha avuto da un precedente matrimonio, e i gemelli adottivi Mariana e Jesus. Le vite di ognuno sono scosse in modo inaspettato quando Lena incontra Callie, un'adolescente problematica e dal passato violento alla quale lei e Stef decidono di dare un'opportunità accogliendola nelle loro vite."
"Devious Maids ";"4";"2013";" Drammatico";" USA";" 43 Min";" ABC Studios";" Cancellata";" Ana Ortiz, Dania Ramirez, Roselyn Sanchez, Judy Reyes, Rebecca Wisocky, Tom Irwin, Susan Lucci, Grant Show, Nathan Owens";"                                            Dramma e caos si celano nelle dimore dei ricchi e potenti di Beverly Hills, e le loro domestiche ne sono le testimoni dirette. Rosie, vedova e madre, lavora per un paio di attori egocentrici. L’aspirante cantante Carmen spera di fare il salto di carriera, ma il suo capo ha altri progetti per lei. Zoila, la più adulta, lavora al fianco della figlia adolescente. Marisol, invece, è al servizio di una coppia di sposini. Quando una loro collega viene brutalmente uccisa, il quartetto comincia ad agire alle spalle dei loro signori per scoprire la verità."
"Siberia ";"3.63";"2013";" Horror";" USA";" 42 Min";" Infinity Films, Welldone Production";" Cancellata";" Jonathon Buckley, Joyce Giraud, Johnny Wactor, Esther Anderson, Miljan Milosevic, Daniel Sutton , Neeko O.J. Skervin, Irene Szuchun Yee, Sam Dobbins";"                                            Nel 1908, un evento inspiegabile segnò per sempre le remote terre della Siberia. Ora, più di cento anni dopo, 16 concorrenti di un reality-show si avventurano in questa regione, inconsapevoli del terribile destino che li attende. Credendo di dover solo sopravvivere nella natura e sopportare le rigide temperature, questi uomini e queste donne di culture ed estrazioni diverse vivono il loro incubo peggiore quando una serie di strani eventi cominciano ad accadere, costringendoli a unire le forze nel tentativo di salvarsi."
"Ray Donovan ";"4.09";"2013";" Drammatico";" USA";" 45 Min";" The Mark Gordon Company";" In Lavorazione";" Liev Schreiber, Jon Voight, Eddie Marsan, Dash Mihok, Pooch Hall, Steven Bauer, Katherine Moennig, Kerris Dorsey, Devon Bagby";"                                            Ray Donovan, un risolutore professionista cui le grandi potenze di Los Angeles (atleti, star del cinema e della musica, magnati dell’industria) si rivolgono per risolvere i loro problemi, spera di cominciare una nuova vita con la sua famiglia dopo essersi lasciato Boston alle spalle. Tuttavia, si ritrova invischiato negli stessi brutti affari di sempre quando il suo influente padre torna in libertà dopo un lungo periodo in prigione, scatenando una serie di eventi che scuote la famiglia Donovan, inclusi i fratelli di Ray e i suoi giovani figli."
"The Bridge ";"3.75";"2013";" Poliziesco";" USA";" 45 Min";" FX Productions";" Cancellata";" Diane Kruger, Demian Bichir, Ted Levine, Annabeth Gish, Thomas M. Wright, Matthew Lillard, Emily Rios";"                                            Quando un organo della magistratura noto per le sue posizioni anti-immigrazione viene trovato senza vita sul ponte che collega El Paso e Juárez, la detective del dipartimento di polizia Sonya Cross e il suo omologo messicano Marco Ruiz iniziano a indagare su un serial killer il quale sembra operare su entrambi i lati del confine tra Stati Uniti e Messico. Tanto affascinante quanto furbo, Marco è uno dei pochi uomini non corrotti del suo reparto, ma questo non basta a Sonya, abituata a seguire fedelmente il protocollo."
"Camp ";"3.13";"2013";" Commedia";" USA";" 42 Min";" BermanBraun, Matchbox Pictures";" Cancellata";" Rachel Griffiths, Rodger Corser, Thom Green, Charles Grounds, Dena Kaplan, Charlotte Nicdao, Nikolai Nikolaeff, Tim Pocock, Lily Sullivan";"                                            Il Little Otter Family Camp è il punto di ritrovo ideale per ragazzi e genitori disposti a trascorrere l’estate a miglia di distanza dalla civiltà. Reduce da un divorzio, Mackenzie Greenfield, proprietaria e direttrice del campeggio, spera in un nuovo inizio, ma è messa in difficoltà dal proprietario arrogante e sexy di una struttura ricettiva rivale. Allo stesso tempo, Mack si rende conto che Cole, l’affascinante ma molto giovane tuttofare, è interessato a lei. Come se non bastasse, suo figlio Buzz non vede l’ora di perdere la verginità."
"King & Maxwell ";"2.25";"2013";" Drammatico";" USA";" 42 Min";"  CBS Television Studios";" Cancellata";" Jon Tenney, Rebecca Romijn, Ryan Hurst, Michael O'Keefe, Chris Butler";"                                            Sean King e Michelle Maxwell sono tutt’altro che dei tipici investigatori privati. Un tempo nei Servizi Segreti, questo esperto di legge caduto in una spirale discendente dopo una missione andata male, e questa ex atleta capace di risolvere i casi tanto con l’intelligenza quanto con la bellezza, sono una spanna avanti ai sospettati e alle forze dell’ordine tradizionali. Tuttavia, lungo la strada, sono soliti scontrarsi su tutto, anche se dietro il fascino e il coraggio di cui fanno sfoggio potrebbe celarsi molto più di un’intesa professionale."
"Low Winter Sun ";"2.5";"2013";" Drammatico";" USA";" 43 Min";" AMC Studios, Endemol Entertainment";" Cancellata";" Mark Strong, Lennie James, James Ransone, Ruben Santiago-Hudson, Sprague Grayden, Athena Karkanis, Billy Lush, David Costabile";"                                            Apparentemente il crimine perfetto, l’omicidio di un poliziotto, commesso a sangue freddo dal collega della Omicidi Frank Agnew, genera una catena di eventi destinata a cambiare per sempre la vita dell’uomo, trascinandolo nel cuore della malavita di Detroit. Aiutato dal veterano Joe Geddes, il quale non ha alcuno scrupolo ad agire su entrambi i lati della legge, Agnew si è mosso – dopo una preparazione certosina, con ogni probabilità ugualmente non sufficiente – credendo che la vittima fosse l’assassino della sua amante, una prostituta."
"House of Cards ";"4.01";"2013";" Drammatico";" USA";" 46 Min";" Media Rights Capital";" Conclusa";" Robin Wright, Michael Kelly, Jayne Atkinson, Derek Cecil, Boris McGiver, Campbell Scott, Patricia Clarkson, Lars Mikkelsen, Sakina Jaffrey";"                                            Il democratico Frank Underwood è un ambizioso membro del parlamento. Durante la campagna elettorale, Underwood ha sostenuto l'elezione del Presidente Garrett Walker, con la promessa di ottenere in cambio l'incarico di Segretario di Stato. Appreso, prima del giuramento, che Walker non ha onorato il patto, furioso per il tradimento subito, Underwood e la moglie Claire mettono in atto un piano di vendetta che prevede l'umiliazione dei nemici e la conquista di una posizione di potere alla Casa Bianca."
"Orange Is the New Black ";"4.08";"2013";" Commedia";" USA";" 51 Min";" Lionsgate Television";" In Lavorazione";" Taylor Schilling, Laura Prepon, Kate Mulgrew, Uzo Aduba, Danielle Brooks, Natasha Lyonne, Taryn Manning, Selenis Leyva, Adrienne C. Moore";"                                            Piper Chapman, una donna di Brooklyn apparentemente per bene, finisce nel carcere femminile di Litchfield, dove dovrà restare per quindici mesi, dopo essere stata condannata per aver trasportato una valigia piena di soldi guadagnati con la droga per Alex Vause, una trafficante internazionale un tempo sua amante. Mentre si trova in prigione, Piper cerca non solo di assorbire il colpo e trovare il suo posto nella gerarchia delle detenute. ma riesamina anche la sua relazione con Alex, finita dietro le sbarre con lei."
"Men at Work ";"2.58";"2012";" Commedia";" USA";" 22 Min";" Sony Pictures Television";" Cancellata";" Danny Masterson, Michael Cassidy, Adam Busch, James Lesure, Meredith Hagner";"                                            Dopo essere stato scaricato dalla fidanzata, lo scrittore barbuto Milo tenta di rimettersi in gioco sentimentalmente con l’aiuto degli amici e colleghi Tyler il raffinato, Gibbs il donnaiolo e Neal il nerd, in realtà l’unico del gruppo ad avere una relazione stabile. Sempre insieme, questi quattro quasi-fratelli si sostengono reciprocamente nella vita e nelle faccende del cuore a New York, tra una bevuta al bar e una pausa in ufficio – la redazione di una rivista."
"Sleepy Hollow ";"3.95";"2013";" Fantasy";" USA";" 43 Min";" 20th Century Fox Television";" Cancellata";" Tom Mison, Lyndie Greenwood, Janina Gavankar, Jeremy Davies, Rachel Melvin, Jerry MacKinnon, Oona Yaffe, John Noble, Nicole Beharie";"                                            Due secoli e mezzo dopo la sua morte, Ichabod Crane si ritrova catapultato nella Sleepy Hollow del presente, molto diversa da come la ricordava, dove il famigerato Cavaliere Senza Testa sta seminando il panico un efferato omicidio dopo l'altro. Aiutato dalla giovane detective Abbie Mills, Ichabod si rende conto rapidamente che fermare il cavaliere è solo l'inizio, essendo quest'ultimo il primo dei quattro Cavalieri dell'Apocalisse, e che lui è solo uno dei numerosi nemici che dovrà affrontare per proteggere Sleepy Hollow e il mondo intero."
"Brooklyn Nine-Nine ";"4.05";"2013";" Commedia";" USA";" 22 Min";" Universal Television";" In Lavorazione";" Andy Samberg, Andre Braugher, Stephanie Beatriz, Terry Crews, Melissa Fumero, Joe Lo Truglio, Dirk Blocker, Joel McKinnon Miller, Chelsea Peretti";"                                            Complice l'alto numero di arresti, il capace ma fin troppo spensierato detective Jake Peralta non ha mai dovuto lavorare sodo o aderire rigidamente alle regole. È costretto però a cambiare atteggiamento, o almeno provarci, quando al Distretto 99 arriva Ray Holt, il nuovo capitano, un tipo \"da manuale\" che vuole farlo maturare e insegnargli il rispetto per il distintivo. Con Jake lavorano la competitiva Amy, l'inetto Charles, la sexy e supponente Rose e il sergente Jeffords, il leader a corto di forza d'animo della loro squadra."
"Dads ";"1.25";"2013";" Commedia";" USA";" 22 Min";" 20th Century Fox Television";" Cancellata";" Giovanni Ribisi, Seth Green, Martin Mull, Peter Riegert, Brenda Song, Vanessa Lachey, Tonita Castro";"                                            Warner ed Eli sono migliori amici da sempre e co-fondatori di una società di videogiochi di successo. Warner, sposato e con due figli, è un fascio di nervi, mentre cerca di bilanciare la carriera con la famiglia. Eli, al contrario, conduce una vita meno stabile. E’ sicuro di sé, ma di tanto in tanto manca di buone intenzioni e integrità. L’esistenza di entrambi è sconvolta quando i rispettivi padri – l’illuso Crawford e il burbero David – invadono i loro spazi, lanciando a questi amici e soci in affari la sfida più grande che abbiano mai dovuto affrontare."
